Dickens,Henry Austin,,
Dickens,Catherine Hogarth,Chapman&Hall,
Dickens,Catherine Hogarth,,Pickwick Papers
Dickens,J.P.Harley,John Braham,
,,,Village Coquettes
Dickens,W.C.Macready,Prince of Wales,
,,Thomas Talfourd,
,,John Forster,
,,W.H.Ainsworth,
,,William Jerdan,
,,,Pickwick Papers
Dickens,Catherine Hogarth,Phiz,
,,Yorkshire school mistress,
,,droll male companion,
,,delicious lady's maid,
,,dirty girl,
,,Thomas Mitton,
,,Thomas Mitton's friend,
,,Mrs.Thomas Bentley,
,,Charley Dickens,
,,Frederick Dickens,
,,Mary Hogarth,
Dickens,Thomas Mitton,Catherine Dickens,
Dickens,Thomas Talfourd,Lady Holland,
,,,Oliver Twist
,,Catherine Hogarth,
,,Charley Dickens,
,,,Nicholas Nickleby
,,Henry Storks,
Dickens,Catherine Hogarth,Charley Dickens,
,,Mary Dickens,
,,Phiz,
,,Shakespeare,
,,John Dickens,
,,,Love Chase
,,,A Roland for an Oliver
,,old gentleman next box,
,,,Nicholas Nickleby
Dickens,Hastings Hughes,,Nicholas Nickleby
Dickens,W.C.Macready,,Lamplighter
,,,Nicholas Nickleby
,,J.P.Harley,
,,,Strange Gentleman
Dickens,W.C.Macready,,Lamplighter
Dickens,W.C.Macready,,Nicholas Nickleby
Dickens,Thomas Mitton,Catherine Hogarth,
,,Mrs.Samuell,
,,Mrs.Samuell's brother,
,,Mrs.Samuell's sister-in-law,
,,Alphington boy,
,,Alphington upholsterer,
,,Charles Kean,
,,Elizabeth Dickens,
,,John Dickens,
Dickens,George Cattermole,,Peveril of the Peak
,,Mrs.Cattermole,
,,Leigh Hunt,
,,,Indicator
,,,Companion
,,,Hood's Own
,,,A Legend of Montrose
,,,Kenilworth
,,Oliver Goldsmith,
,,Henry Fielding(novelist),
,,Jonathan Swift,
,,Tobias Smollett,
,,Dickens' servant,